,N_cf,N_cs,N_uf,N_us,N_f,N_s,Tarantula,Zoltar,Sokal,Fossum
20,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
22,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
24,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
26,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
53,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
56,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
57,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
58,0,0,9,191,9,191,,,0.9769820971867008,inf
59,0,0,9,191,9,191,,,0.9769820971867008,inf
62,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
63,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
64,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
67,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
68,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
70,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
71,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
73,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
74,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
75,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
76,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
77,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
79,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
80,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
81,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
