,N_cf,N_cs,N_uf,N_us,N_f,N_s,Tarantula,Zoltar,Sokal,Fossum
20,0,200,0,0,0,200,,,0.0,inf
22,0,200,0,0,0,200,,,0.0,inf
24,0,200,0,0,0,200,,,0.0,inf
26,0,200,0,0,0,200,,,0.0,inf
53,0,200,0,0,0,200,,,0.0,inf
56,0,200,0,0,0,200,,,0.0,inf
57,0,200,0,0,0,200,,,0.0,inf
58,0,0,0,200,0,200,,,1.0,inf
59,0,0,0,200,0,200,,,1.0,inf
62,0,200,0,0,0,200,,,0.0,inf
63,0,200,0,0,0,200,,,0.0,inf
64,0,200,0,0,0,200,,,0.0,inf
67,0,200,0,0,0,200,,,0.0,inf
68,0,200,0,0,0,200,,,0.0,inf
70,0,200,0,0,0,200,,,0.0,inf
71,0,200,0,0,0,200,,,0.0,inf
73,0,200,0,0,0,200,,,0.0,inf
74,0,200,0,0,0,200,,,0.0,inf
75,0,200,0,0,0,200,,,0.0,inf
76,0,200,0,0,0,200,,,0.0,inf
77,0,200,0,0,0,200,,,0.0,inf
79,0,200,0,0,0,200,,,0.0,inf
80,0,200,0,0,0,200,,,0.0,inf
81,0,200,0,0,0,200,,,0.0,inf
82,0,200,0,0,0,200,,,0.0,inf
83,0,199,0,1,0,200,,,0.009950248756218905,inf
84,0,196,0,4,0,200,,,0.0392156862745098,inf
85,0,0,0,200,0,200,,,1.0,inf
86,0,0,0,200,0,200,,,1.0,inf
89,0,196,0,4,0,200,,,0.0392156862745098,inf
91,0,196,0,4,0,200,,,0.0392156862745098,inf
92,0,199,0,1,0,200,,,0.009950248756218905,inf
94,0,200,0,0,0,200,,,0.0,inf
95,0,200,0,0,0,200,,,0.0,inf
96,0,200,0,0,0,200,,,0.0,inf
97,0,200,0,0,0,200,,,0.0,inf
98,0,0,0,200,0,200,,,1.0,inf
99,0,200,0,0,0,200,,,0.0,inf
100,0,200,0,0,0,200,,,0.0,inf
101,0,200,0,0,0,200,,,0.0,inf
102,0,0,0,200,0,200,,,1.0,inf
103,0,200,0,0,0,200,,,0.0,inf
104,0,200,0,0,0,200,,,0.0,inf
105,0,200,0,0,0,200,,,0.0,inf
106,0,200,0,0,0,200,,,0.0,inf
107,0,180,0,20,0,200,,,0.18181818181818182,inf
108,0,182,0,18,0,200,,,0.1651376146788991,inf
109,0,86,0,114,0,200,,,0.7261146496815286,inf
110,0,18,0,182,0,200,,,0.9528795811518325,inf
111,0,86,0,114,0,200,,,0.7261146496815286,inf
112,0,86,0,114,0,200,,,0.7261146496815286,inf
113,0,86,0,114,0,200,,,0.7261146496815286,inf
114,0,86,0,114,0,200,,,0.7261146496815286,inf
116,0,182,0,18,0,200,,,0.1651376146788991,inf
117,0,86,0,114,0,200,,,0.7261146496815286,inf
118,0,72,0,128,0,200,,,0.7804878048780488,inf
119,0,72,0,128,0,200,,,0.7804878048780488,inf
121,0,86,0,114,0,200,,,0.7261146496815286,inf
122,0,0,0,200,0,200,,,1.0,inf
123,0,0,0,200,0,200,,,1.0,inf
125,0,86,0,114,0,200,,,0.7261146496815286,inf
126,0,86,0,114,0,200,,,0.7261146496815286,inf
127,0,86,0,114,0,200,,,0.7261146496815286,inf
129,0,182,0,18,0,200,,,0.1651376146788991,inf
130,0,182,0,18,0,200,,,0.1651376146788991,inf
131,0,182,0,18,0,200,,,0.1651376146788991,inf
133,0,182,0,18,0,200,,,0.1651376146788991,inf
134,0,0,0,200,0,200,,,1.0,inf
135,0,0,0,200,0,200,,,1.0,inf
136,0,0,0,200,0,200,,,1.0,inf
137,0,0,0,200,0,200,,,1.0,inf
138,0,0,0,200,0,200,,,1.0,inf
139,0,0,0,200,0,200,,,1.0,inf
140,0,0,0,200,0,200,,,1.0,inf
141,0,0,0,200,0,200,,,1.0,inf
142,0,0,0,200,0,200,,,1.0,inf
144,0,0,0,200,0,200,,,1.0,inf
145,0,0,0,200,0,200,,,1.0,inf
147,0,200,0,0,0,200,,,0.0,inf
148,0,200,0,0,0,200,,,0.0,inf
149,0,180,0,20,0,200,,,0.18181818181818182,inf
150,0,0,0,200,0,200,,,1.0,inf
151,0,0,0,200,0,200,,,1.0,inf
153,0,180,0,20,0,200,,,0.18181818181818182,inf
154,0,180,0,20,0,200,,,0.18181818181818182,inf
156,0,200,0,0,0,200,,,0.0,inf
158,0,182,0,18,0,200,,,0.1651376146788991,inf
160,0,182,0,18,0,200,,,0.1651376146788991,inf
161,0,182,0,18,0,200,,,0.1651376146788991,inf
162,0,153,0,47,0,200,,,0.3805668016194332,inf
163,0,153,0,47,0,200,,,0.3805668016194332,inf
165,0,182,0,18,0,200,,,0.1651376146788991,inf
166,0,182,0,18,0,200,,,0.1651376146788991,inf
168,0,200,0,0,0,200,,,0.0,inf
170,0,200,0,0,0,200,,,0.0,inf
171,0,200,0,0,0,200,,,0.0,inf
172,0,200,0,0,0,200,,,0.0,inf
173,0,200,0,0,0,200,,,0.0,inf
174,0,200,0,0,0,200,,,0.0,inf
175,0,200,0,0,0,200,,,0.0,inf
178,0,200,0,0,0,200,,,0.0,inf
179,0,200,0,0,0,200,,,0.0,inf
180,0,200,0,0,0,200,,,0.0,inf
182,0,0,0,200,0,200,,,1.0,inf
183,0,0,0,200,0,200,,,1.0,inf
184,0,0,0,200,0,200,,,1.0,inf
186,0,182,0,18,0,200,,,0.1651376146788991,inf
187,0,105,0,95,0,200,,,0.6440677966101694,inf
188,0,0,0,200,0,200,,,1.0,inf
189,0,105,0,95,0,200,,,0.6440677966101694,inf
190,0,105,0,95,0,200,,,0.6440677966101694,inf
191,0,105,0,95,0,200,,,0.6440677966101694,inf
192,0,105,0,95,0,200,,,0.6440677966101694,inf
194,0,178,0,22,0,200,,,0.1981981981981982,inf
195,0,0,0,200,0,200,,,1.0,inf
196,0,178,0,22,0,200,,,0.1981981981981982,inf
197,0,178,0,22,0,200,,,0.1981981981981982,inf
198,0,178,0,22,0,200,,,0.1981981981981982,inf
199,0,178,0,22,0,200,,,0.1981981981981982,inf
200,0,178,0,22,0,200,,,0.1981981981981982,inf
202,0,182,0,18,0,200,,,0.1651376146788991,inf
204,0,163,0,37,0,200,,,0.31223628691983124,inf
205,0,0,0,200,0,200,,,1.0,inf
206,0,0,0,200,0,200,,,1.0,inf
208,0,163,0,37,0,200,,,0.31223628691983124,inf
210,0,0,0,200,0,200,,,1.0,inf
211,0,0,0,200,0,200,,,1.0,inf
213,0,0,0,200,0,200,,,1.0,inf
214,0,0,0,200,0,200,,,1.0,inf
215,0,200,0,0,0,200,,,0.0,inf
217,0,182,0,18,0,200,,,0.1651376146788991,inf
219,0,182,0,18,0,200,,,0.1651376146788991,inf
222,0,72,0,128,0,200,,,0.7804878048780488,inf
224,0,1,0,199,0,200,,,0.9974937343358395,inf
226,0,0,0,200,0,200,,,1.0,inf
230,0,3,0,197,0,200,,,0.9924433249370277,inf
233,0,155,0,45,0,200,,,0.3673469387755102,inf
236,0,164,0,36,0,200,,,0.3050847457627119,inf
239,0,37,0,163,0,200,,,0.8980716253443526,inf
241,0,105,0,95,0,200,,,0.6440677966101694,inf
243,0,0,0,200,0,200,,,1.0,inf
244,0,0,0,200,0,200,,,1.0,inf
245,0,182,0,18,0,200,,,0.1651376146788991,inf
247,0,178,0,22,0,200,,,0.1981981981981982,inf
249,0,178,0,22,0,200,,,0.1981981981981982,inf
252,0,0,0,200,0,200,,,1.0,inf
254,0,1,0,199,0,200,,,0.9974937343358395,inf
256,0,1,0,199,0,200,,,0.9974937343358395,inf
258,0,1,0,199,0,200,,,0.9974937343358395,inf
260,0,0,0,200,0,200,,,1.0,inf
262,0,111,0,89,0,200,,,0.615916955017301,inf
264,0,117,0,83,0,200,,,0.5865724381625441,inf
266,0,130,0,70,0,200,,,0.5185185185185185,inf
268,0,137,0,63,0,200,,,0.4790874524714829,inf
269,0,37,0,163,0,200,,,0.8980716253443526,inf
270,0,37,0,163,0,200,,,0.8980716253443526,inf
272,0,118,0,82,0,200,,,0.5815602836879432,inf
274,0,22,0,178,0,200,,,0.9417989417989417,inf
276,0,14,0,186,0,200,,,0.9637305699481865,inf
278,0,0,0,200,0,200,,,1.0,inf
279,0,0,0,200,0,200,,,1.0,inf
280,0,169,0,31,0,200,,,0.2683982683982684,inf
282,0,105,0,95,0,200,,,0.6440677966101694,inf
284,0,105,0,95,0,200,,,0.6440677966101694,inf
287,0,105,0,95,0,200,,,0.6440677966101694,inf
289,0,0,0,200,0,200,,,1.0,inf
290,0,0,0,200,0,200,,,1.0,inf
293,0,200,0,0,0,200,,,0.0,inf
295,0,200,0,0,0,200,,,0.0,inf
297,0,0,0,200,0,200,,,1.0,inf
299,0,200,0,0,0,200,,,0.0,inf
301,0,32,0,168,0,200,,,0.9130434782608695,inf
303,0,32,0,168,0,200,,,0.9130434782608695,inf
304,0,32,0,168,0,200,,,0.9130434782608695,inf
305,0,32,0,168,0,200,,,0.9130434782608695,inf
306,0,32,0,168,0,200,,,0.9130434782608695,inf
308,0,0,0,200,0,200,,,1.0,inf
309,0,0,0,200,0,200,,,1.0,inf
311,0,32,0,168,0,200,,,0.9130434782608695,inf
313,0,12,0,188,0,200,,,0.9690721649484536,inf
314,0,12,0,188,0,200,,,0.9690721649484536,inf
315,0,12,0,188,0,200,,,0.9690721649484536,inf
316,0,32,0,168,0,200,,,0.9130434782608695,inf
318,0,31,0,169,0,200,,,0.9159891598915989,inf
320,0,31,0,169,0,200,,,0.9159891598915989,inf
321,0,31,0,169,0,200,,,0.9159891598915989,inf
322,0,31,0,169,0,200,,,0.9159891598915989,inf
323,0,31,0,169,0,200,,,0.9159891598915989,inf
325,0,32,0,168,0,200,,,0.9130434782608695,inf
327,0,12,0,188,0,200,,,0.9690721649484536,inf
328,0,12,0,188,0,200,,,0.9690721649484536,inf
329,0,32,0,168,0,200,,,0.9130434782608695,inf
332,0,14,0,186,0,200,,,0.9637305699481865,inf
334,0,14,0,186,0,200,,,0.9637305699481865,inf
335,0,14,0,186,0,200,,,0.9637305699481865,inf
336,0,14,0,186,0,200,,,0.9637305699481865,inf
337,0,14,0,186,0,200,,,0.9637305699481865,inf
339,0,0,0,200,0,200,,,1.0,inf
340,0,0,0,200,0,200,,,1.0,inf
342,0,14,0,186,0,200,,,0.9637305699481865,inf
344,0,0,0,200,0,200,,,1.0,inf
345,0,0,0,200,0,200,,,1.0,inf
347,0,14,0,186,0,200,,,0.9637305699481865,inf
349,0,0,0,200,0,200,,,1.0,inf
350,0,0,0,200,0,200,,,1.0,inf
351,0,0,0,200,0,200,,,1.0,inf
352,0,0,0,200,0,200,,,1.0,inf
353,0,14,0,186,0,200,,,0.9637305699481865,inf
355,0,11,0,189,0,200,,,0.9717223650385605,inf
357,0,14,0,186,0,200,,,0.9637305699481865,inf
359,0,0,0,200,0,200,,,1.0,inf
360,0,0,0,200,0,200,,,1.0,inf
361,0,14,0,186,0,200,,,0.9637305699481865,inf
364,0,182,0,18,0,200,,,0.1651376146788991,inf
366,0,182,0,18,0,200,,,0.1651376146788991,inf
368,0,182,0,18,0,200,,,0.1651376146788991,inf
369,0,105,0,95,0,200,,,0.6440677966101694,inf
370,0,178,0,22,0,200,,,0.1981981981981982,inf
371,0,182,0,18,0,200,,,0.1651376146788991,inf
373,0,140,0,60,0,200,,,0.46153846153846156,inf
375,0,140,0,60,0,200,,,0.46153846153846156,inf
376,0,47,0,153,0,200,,,0.8668555240793201,inf
377,0,123,0,77,0,200,,,0.555956678700361,inf
378,0,140,0,60,0,200,,,0.46153846153846156,inf
